driverid,date_of_birth
alesi,1964-06-11
barrichello,1972-05-23
burti,1975-03-05
button,1980-01-19
coulthard,1971-03-27
diniz,1970-05-22
fisichella,1973-01-14
frentzen,1967-05-18
gene,1974-03-29
heidfeld,1977-05-10
herbert,1964-06-25
hakkinen,1968-09-28
irvine,1965-11-10
mazzacane,1975-05-08
salo,1966-11-30
michael_schumacher,1969-01-03
ralf_schumacher,1975-06-30
trulli,1974-07-13
verstappen,1972-03-04
villeneuve,1971-04-09
wurz,1974-02-15
zonta,1976-03-23
rosa,1971-02-24
alonso,1981-07-29
bernoldi,1978-10-19
enge,1976-09-11
marques,1976-01-19
montoya,1975-09-20
panis,1966-09-02
raikkonen,1979-10-17
yoong,1976-07-20
davidson,1979-04-18
massa,1981-04-25
mcnish,1969-12-29
sato,1977-01-28
webber,1976-08-27
baumgartner,1981-01-01
firman,1975-05-20
kiesa,1978-03-03
pizzonia,1980-09-11
wilson,1978-07-31
matta,1973-09-19
bruni,1981-05-30
glock,1982-03-18
klien,1983-02-07
pantano,1979-02-04
albers,1979-04-16
doornbos,1981-09-23
friesacher,1980-09-26
karthikeyan,1977-01-14
liuzzi,1980-08-06
monteiro,1976-07-24
ide,1975-01-21
kubica,1984-12-07
montagny,1978-01-05
rosberg,1985-06-27
speed,1983-01-24
yamamoto,1982-07-09
hamilton,1985-01-07
kovalainen,1981-10-19
nakajima,1985-01-11
sutil,1983-01-11
vettel,1987-07-03
markus_winkelhock,1980-06-13
bourdais,1979-02-28
piquet_jr,1985-07-25
alguersuari,1990-03-23
badoer,1971-01-25
buemi,1988-10-31
grosjean,1986-04-17
kobayashi,1986-09-13
chandhok,1984-01-19
hulkenberg,1987-08-19
petrov,1984-09-08
bruno_senna,1983-10-15
grassi,1984-08-11
maldonado,1985-03-09
perez,1990-01-26
ricciardo,1989-07-01
ambrosio,1985-12-27
resta,1986-04-16
pic,1990-02-15
vergne,1990-04-25
jules_bianchi,1989-08-03
bottas,1989-08-28
chilton,1991-04-21
gutierrez,1991-08-05
garde,1985-04-25
ericsson,1990-09-02
kvyat,1994-04-26
lotterer,1981-11-19
kevin_magnussen,1992-10-05
stevens,1991-06-28
merhi,1991-03-22
nasr,1992-08-21
rossi,1991-09-25
sainz,1994-09-01
max_verstappen,1997-09-30
haryanto,1993-01-22
ocon,1996-09-17
jolyon_palmer,1991-01-20
vandoorne,1992-03-26
wehrlein,1994-10-18
gasly,1996-02-07
giovinazzi,1993-12-14
brendon_hartley,1989-11-10
stroll,1998-10-29
leclerc,1997-10-16
sirotkin,1995-08-27
albon,1996-03-23
norris,1999-11-13
russell,1998-02-15
aitken,1995-09-23
pietro_fittipaldi,1996-06-25
latifi,1995-06-29
mazepin,1999-03-02
mick_schumacher,1999-03-22
tsunoda,2000-05-11
zhou,1999-05-30
de_vries,1995-02-06
lawson,2002-02-11
piastri,2001-04-06
sargeant,2000-12-31
antonelli,2006-08-25
bearman,2005-05-08
colapinto,2003-05-27
doohan,2003-01-20
paul_aron,
dino_beganovic,
bortoleto,2004-10-14
luke_browning,
jak_crawford,
felipe_drugovich,
alexander_dunne,
antonio_fuoco,
hadjar,2004-09-28
ryo_hirakawa,
ayumu_iwasa,
arthur_leclerc,
arvid_lindblad,2007-08-08
victor_martins,
patricio_o_ward,
cian_shields,
frederik_vesti,
